case_id,environment,scenario,wind_model,source_mode,source_description,resolution,number_of_source_cells,radionuclide,emission_factor,emission_rate_bq_s,emission_classification,grid_shape,dx_m,dy_m,dz_m,dt_s,total_time_s,max_concentration_bq_m3,final_max_concentration_bq_m3,total_activity_bq,final_total_activity_bq,centroid_x_m,centroid_y_m,centroid_z_m,final_centroid_x_m,final_centroid_y_m,final_centroid_z_m,runtime_s,n_steps,hrtm_profile,max_dose_field,final_max_dose_field,field_file,status,error
Tc99m_Q0.25_VOLUMETRIC_OUTDOOR_GUST,outdoor,gust,GustField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,19.970466572299117,19.96305179257582,0.0,957.9567203254801,nan,nan,nan,22.02605850892846,14.999999999999996,7.50000000277842,21.64949216900004,12000,,nan,nan,,OK,
Tc99m_Q0.25_VOLUMETRIC_OUTDOOR_VORTEX,outdoor,vortex,VortexField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.25,25.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,115.29668007442115,115.29668007442115,0.0,1857.1253648996842,nan,nan,nan,15.000000000000727,15.000000000000584,7.500000268658915,21.041433039000367,12000,,nan,nan,,OK,
Tc99m_Q0.5_MULTIPLE_POINTS_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,multiple_points,5 point sources,high,5,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,608.5331393862862,608.5331393862862,0.0,3714.250609387085,nan,nan,nan,15.0,15.000000000000002,7.500000111117281,61.92127645899927,12000,,nan,nan,,OK,
Tc99m_Q0.5_MULTIPLE_POINTS_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,multiple_points,5 point sources,high,5,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,469.5754573400787,469.5754573400787,0.0,3701.2318124646176,nan,nan,nan,14.999446829864738,15.008468652023614,8.22392662064989,62.54320720999931,12000,,nan,nan,,OK,
Tc99m_Q0.5_MULTIPLE_POINTS_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,multiple_points,5 point sources,high,5,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,338.92603112650363,338.92603112650363,0.0,3616.233576602799,nan,nan,nan,14.99747673398161,15.021613075313299,9.246218474843985,62.794555253,12000,,nan,nan,,OK,
Tc99m_Q0.5_MULTIPLE_POINTS_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,multiple_points,5 point sources,high,5,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,32.915509005943726,32.915509005943726,0.0,468.615606936255,nan,nan,nan,15.000000000000005,16.989098650790684,10.991994127574504,63.878535959000146,12000,,nan,nan,,OK,
Tc99m_Q0.5_MULTIPLE_POINTS_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,multiple_points,5 point sources,high,5,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,183.77950182432838,183.77950182432838,0.0,1868.1691286965533,nan,nan,nan,22.197756570912997,15.0,7.500000000764409,21.024235007000243,12000,,nan,nan,,OK,
Tc99m_Q0.5_MULTIPLE_POINTS_OUTDOOR_SHEAR,outdoor,shear,ShearField,multiple_points,5 point sources,high,5,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,173.153249076226,173.153249076226,0.0,1702.0388862499665,nan,nan,nan,22.201056385657782,14.999999999999996,7.492848239667072,20.926765524000075,12000,,nan,nan,,OK,
Tc99m_Q0.5_MULTIPLE_POINTS_OUTDOOR_GUST,outdoor,gust,GustField,multiple_points,5 point sources,high,5,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,203.93599213662495,197.56159068117557,0.0,1915.7432059514822,nan,nan,nan,22.01239334256686,15.000000000000002,7.500000000921111,21.453204602999904,12000,,nan,nan,,OK,
Tc99m_Q0.5_MULTIPLE_POINTS_OUTDOOR_VORTEX,outdoor,vortex,VortexField,multiple_points,5 point sources,high,5,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,597.1642634101098,597.1642634101098,0.0,3714.250609286899,nan,nan,nan,15.000000000002903,15.000000000002332,7.500000110981568,20.9049481560005,12000,,nan,nan,,OK,
Tc99m_Q0.5_PLANAR_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,planar,planar source (49 cells),high,49,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,205.85640147230902,205.85640147230902,0.0,3714.250609386824,nan,nan,nan,14.999999999999998,15.0,7.50000011111728,62.23608668900124,12000,,nan,nan,,OK,
Tc99m_Q0.5_PLANAR_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,planar,planar source (49 cells),high,49,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,141.21742038757205,141.21742038757205,0.0,3710.5635070214807,nan,nan,nan,14.999457934196004,14.998014498727459,8.225186541262566,62.563921167000444,12000,,nan,nan,,OK,
Tc99m_Q0.5_PLANAR_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,planar,planar source (49 cells),high,49,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,79.21458526178947,79.21458526178947,0.0,3644.3385928514067,nan,nan,nan,14.997490037577782,14.995442129562317,9.25053828269787,62.68275793800058,12000,,nan,nan,,OK,
Tc99m_Q0.5_PLANAR_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,planar,planar source (49 cells),high,49,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,5.0899979625253415,5.0899979625253415,0.0,468.61558869271903,nan,nan,nan,15.000000000000016,16.98909814601825,10.99199401289687,64.34083418499904,12000,,nan,nan,,OK,
Tc99m_Q0.5_PLANAR_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,planar,planar source (49 cells),high,49,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,54.43311490333282,54.43311490333282,0.0,1868.1650624826786,nan,nan,nan,22.194427212946653,15.000000000000002,7.5000000007758105,20.94530586199835,12000,,nan,nan,,OK,
